,Unnamed: 0,headline,hyperlink,published,query,source,content
10,10,"French 'Tabac' shops diversify, selling bitcoin for cash",https://www.reuters.com/article/idUSL8N1Z75DZ,"January 08, 2019 01:33pm EST","['bitcoin', '', '']",reuters,"PARIS (Reuters) - As well as cigarettes, cigars, lottery tickets and the like, visitors to Paris Tabacs can now also buy bitcoins.  With the backing of French fintech group Keplerk, the crypto-currency has gone on sale in six tobacco shops in and around Paris.  Adil Zakhar, one of Keplerk’s co-founders, hopes to enrol up to 6,500 Tabacs by February.   “Some people find it complicated to get bitcoins on-line,” Zakhar said . “They trust their local tobacco shop owner more than they would trust some remote anonymous website.”  Late last year, Keplerk secured a contract with a local cash-register software provider to include an option for Tabac owners to sell vouchers redeemable for bitcoins in an electronic wallet that is held on Keplerk’s website.  Threatened by dwindling tobacco sales, France’s 24,000 licensed tobacco shops have diversified into products such as prepaid credit cards, cellphone credits and money transfer services.  Cyril Azria, 45, one of the first buyers on Tuesday, is a tech enthusiast.  “I’ll use the bitcoins to buy some computer material on the internet and the rest to speculate,” he said.  “It’s a good time to buy,” he said, after spending 150 euros on the crypto-currency.   Bitcoin has attracted a mix of investors, some convinced that it can reshape global finance and others attracted by rapid gains that pushed the value close to $20,000 in late 2017.  It has since lost three-quarters of its value, falling to $4,016 on Tuesday.  French regulators in November warned potential customers against buying crypto-currencies, saying the unregulated financial instrument is highly volatile.  However, they have not blocked Keplerk’s tabac plan.   Industry observers have criticized the retail initiative, saying it is cheaper and faster to buy bitcoin online.  Reporting by Inti Landauro; Editing by Alexandra Hudson"
11,11,Morgan Stanley to offer bitcoin swap trading - Bloomberg,https://www.reuters.com/article/idUSL3N1VZ4M5,"September 13, 2018 08:21am EDT","['bitcoin', '', '']",reuters,"(Reuters) - Morgan Stanley plans to offer trading in derivatives tied to bitcoin, Bloomberg reported on Thursday, citing a person familiar with the matter.  The bank does not plan to trade bitcoin directly and its swaps are tied to bitcoin futures contracts, the person said.  Morgan Stanley did not immediately respond to a Reuters request for comment.  Last week, Business Insider reported that rival Goldman Sachs Group Inc was ditching plans to open a desk for trading cryptocurrencies, as the regulatory framework for crypto remains unclear.  Reporting by Sanjana Shivdas in Bengaluru; Editing by Maju Samuel"
12,12,Morgan Stanley to offer bitcoin swap trading - Bloomberg,https://www.reuters.com/article/idUSKCN1LT1YD,"September 13, 2018 08:31am EDT","['bitcoin', '', '']",reuters,"(Reuters) - Morgan Stanley plans to offer trading in derivatives tied to bitcoin, Bloomberg reported on Thursday, citing a person familiar with the matter.  The bank does not plan to trade bitcoin directly and its swaps are tied to bitcoin futures contracts, the person said.  Morgan Stanley did not immediately respond to a Reuters request for comment.  Last week, Business Insider reported that rival Goldman Sachs Group Inc was ditching plans to open a desk for trading cryptocurrencies, as the regulatory framework for crypto remains unclear.  Reporting by Sanjana Shivdas in Bengaluru; Editing by Maju Samuel"
13,13,French lawmakers back plans to ease taxes on bitcoin gains,https://www.reuters.com/article/idUSKCN1NC24K,"November 07, 2018 10:10am EST","['bitcoin', '', '']",reuters,"PARIS (Reuters) - The finance commission in France’s lower house of parliament backed plans on Wednesday to ease tax on bitcoin sales, bringing it in line with other capital gains tax.  Currently bitcoin gains are taxed at a rate of 36.2 percent while other forms of capital gains on other non-real estate assets are taxed at a flat 30 percent.  The finance commission adopted an amendment to the 2019 budget bill that would subject sales of crypto-assets like bitcoin to the 30-percent flat rate as well.  The amendment must be approved in the final version of the budget bill by the broader parliament in order to become law.  Reporting by Myriam Rivet, writing by Leigh Thomas; editing by Michel Rose"
14,14,Birthday blues for bitcoin as investors face year-on-year loss,https://www.reuters.com/article/idUSL3N1XB59Q,"October 31, 2018 09:19am EDT","['bitcoin', '', '']",reuters,"* Bitcoin on course for year-on-year loss  * White paper for the digital coin published 10 years ago  * Bitcoin has slumped about 70 pct since December peak  By Tom Wilson  LONDON, Oct 31 (Reuters) - Bitcoin was heading towards a year-on-year loss on Wednesday, its 10th birthday, the first loss since last year’s bull market, when the original and biggest digital coin muscled its way to worldwide attention with months of frenzied buying.  By 1300 GMT, bitcoin was trading at $6,263 on the BitStamp exchange, leaving investors who had bought it on Halloween 2017 facing yearly losses of nearly 3 percent.  A year ago, bitcoin closed at $6,443.22 as it tore towards a record high of near $20,000, hit in December.  That run, fuelled by frenzied buying by retail investors from South Korea to the United States, pushed bitcoin to calendar-year gains of over 1,300 percent.  Ten years ago, Satoshi Nakamoto, bitcoin’s still-unidentified founder, released a white paper detailing the need for an online currency that could be used for payments without the involvement of a third party, such as a bank.  Traders and market participants said the Halloween milestone was inevitable, given losses of around 70 percent from bitcoin’s peak and the continuing but incomplete shift towards investment by mainstream financial firms.  “The value mechanisms of crypto and bitcoin today are based more on underlying tech than hype and FOMO (fear of missing out),” said Josh Bramley, head trader at crypto wealth management firm Blockstars.  Growing use of blockchain - the distributed ledger technology that underpins bitcoin - is now powering valuations of the digital currency, he said, cautioning that some expectations for widespread use have not yet materialised.  Others said improvements to infrastructure such as custody services may allow mainstream investors who are wary of buying bitcoin to take positions.  “We see behind closed doors financial and non-financial institutions beavering away to create the infrastructure,” said Ben Sebley, head of brokerage at NKB Group, a blockchain advisory and investment firm.  Bitcoin has endured year-on-year losses before, according to data from CryptoCompare, most recently in 2015-15.  Retail investors still account for a strong proportion of trading, market players said.  Investors who bet early on bitcoin and have stuck with it have faced a roller-coaster ride in its first decade. Many told Reuters they are optimistic that they are still onto a winner.  Reporting by Tom Wilson"
15,15,"Bitcoin extends losses, down more than 20% to below $6,300",https://www.reuters.com/article/idUSL4N22T0TU,"May 16, 2019 11:47pm EDT","['bitcoin', '', '']",reuters,"TOKYO, May 17 (Reuters) - The price of bitcoin sank almost 20% on Friday, an abrupt move after a strong recovery in the crypto-currency in recent weeks that took it to 10-month highs.  Bitcoin fell to as low as $6,178 at Bitstamp exchange , down 21.6% from the previous close and last stood down 7.8% at $7,266. (Reporting by Hideyuki Sano Editing by Jacqueline Wong)"
16,16,Bitcoin drops to one-year low as slump persists; ethereum down sharply,https://www.reuters.com/article/idUSKCN1NJ2GY,"November 14, 2018 02:59pm EST","['bitcoin', '', '']",reuters,"NEW YORK/LONDON (Reuters) - Bitcoin fell to a more than one-year low on Wednesday, breaching  a key support level of $6,000 and causing a wave of selling in the digital currency and other crypto assets in what has been a prolonged market slump that began early this year.  Bitcoin fell to as low as $5,533.09 BTC=BTSP on the Bitstamp platform. It was down 9 percent at $5,690.47.  “For the last few days you could see the consolidation happening and the price was moving on the downside,” said Naeem Aslam, analyst at ThinkMarkets, a multi-asset online brokerage.  “The break of $6,200 yesterday gave a fair indication that there are no buyers on the sidelines at this point,” he added.   Bitcoin's weakness spread to other cryptocurrencies, with ethereum, the second-largest, dropping to a two-month low. Ethereum was last down 10 percent at $182.41 ETH=BTSP.  Wednesday’s sell-off in cryptocurrencies pushed the sector’s market capitalization to under $200 billion for the first time since around mid-September, according to data from industry data tracker coinmarketcap.com.  “What you are seeing... is a breakout on the downside. Sometimes when things happen, it takes a while for the true reason to become clear - an exchange trade or regulatory action,” said Charlie Hayter, founder of industry website Cryptocompare in London.  Other market participants suggested that Thursday’s impending “hard fork,” or split of bitcoin cash - another cryptocurrency that emerged out of bitcoin - into two separate currencies, has caused some volatility as well.    Twice a year, bitcoin cash undergoes scheduled protocol upgrades, which include splitting its network.   “For our trading activities, the hard fork recently has generated tremendous interest and trading volume, above 4 billion daily, among traders,” said Ricky Li, co-founder of crypto trading and advisory firm Altonomy.  Overall, analysts said the outlook for bitcoin remains unclear, with longer-term forecasts dependent on the virtual currency becoming a reliable store of value or a viable payment mechanism.  However, there are growing signs of greater institutional participation in bitcoin, such as increased demand for a bitcoin exchange traded fund and rising bitcoin futures volume, analysts said. But they noted that actual participation remains low among both institutional and retail investors.  Reporting by Gertrude Chavez-Dreyfuss in New York and Tom Wilson in London; Editing by Chizu Nomiyama and Dan Grebler"
17,17,UPDATE 1-Birthday blues for bitcoin as investors face year-on-year loss,https://www.reuters.com/article/idUSL8N1XB8QY,"October 31, 2018 04:05pm EDT","['bitcoin', '', '']",reuters,"LONDON (Reuters) - Bitcoin was heading towards a year-on-year loss on Wednesday, its 10th birthday, the first loss since last year’s bull market, when the original and biggest digital coin muscled its way to worldwide attention with months of frenzied buying.  By 1300 GMT, bitcoin BTC=BTSP was trading at $6,263 on the BitStamp exchange, leaving investors who had bought it on Halloween 2017 facing yearly losses of nearly 3 percent.    A year ago, bitcoin closed at $6,443.22 as it tore towards a record high of near $20,000, hit in December.   Advertisement That run, fuelled by frenzied buying by retail investors from South Korea to the United States, pushed bitcoin to calendar-year gains of over 1,300 percent.  Ten years ago, Satoshi Nakamoto, bitcoin’s still-unidentified founder, released a white paper detailing the need for an online currency that could be used for payments without the involvement of a third party, such as a bank.  Traders and market participants said the Halloween milestone was inevitable, given losses of around 70 percent from bitcoin’s peak and the continuing but incomplete shift towards investment by mainstream financial firms.  “The value mechanisms of crypto and bitcoin today are based more on underlying tech than hype and FOMO (fear of missing out),” said Josh Bramley, head trader at crypto wealth management firm Blockstars.   Growing use of blockchain - the distributed ledger technology that underpins bitcoin - is now powering valuations of the digital currency, he said, cautioning that some expectations for widespread use have not yet materialised.       Others said improvements to infrastructure such as custody services may allow mainstream investors who are wary of buying bitcoin to take positions.  “We see behind closed doors financial and non-financial institutions beavering away to create the infrastructure,” said Ben Sebley, head of brokerage at NKB Group, a blockchain advisory and investment firm.  Bitcoin has endured year-on-year losses before, according to data from CryptoCompare, most recently in 2015-15.  Retail investors still account for a strong proportion of trading, market players said.   Investors who bet early on bitcoin and have stuck with it have faced a roller-coaster ride in its first decade. Many told Reuters they are optimistic that they are still onto a winner.         Reporting by Tom Wilson"
18,18,New York regulator grants virtual license to bitcoin ATM operator,https://www.reuters.com/article/idUSL2N1XC132,"November 01, 2018 11:16am EDT","['bitcoin', '', '']",reuters,"NEW YORK, Nov 1 (Reuters) - New York state’s Department of Financial Services said on Thursday it has approved the virtual currency license of bitcoin teller machines operator Coinsource Inc.  Coinsource, based in Fort Worth, Texas, operates 40 bitcoin kiosks in New York state, located in New York City and Westchester and Nassau Counties. The company allows customers to insert cash and buy bitcoin and store it on their mobile wallet, or sell bitcoin for cash, by scanning their mobile wallet at the kiosk.  “Today’s approval is a further step in implementing strong regulatory safeguards and effective risk-based controls while encouraging the responsible growth of financial innovation,” Financial Services Superintendent Maria T. Vullo said in a statement on Thursday.  The state Department of Financial Services has approved 12 charters or licenses so far for companies in the virtual currency marketplace. (Reporting by Gertrude Chavez-Dreyfuss; Editing by David Gregorio)"
19,19,Early bitcoin investors count winnings after volatile decade,https://www.reuters.com/article/idUSKCN1N50FA,"October 31, 2018 01:19am EDT","['bitcoin', '', '']",reuters,"NEW YORK/LONDON (Reuters) - Seven years ago, Marshall Hayner gave his grandfather one bitcoin, worth about $30. On the paper wallet he fashioned to commemorate the gift, the U.S. entrepreneur and software developer wrote: “Do not open until $100,000.”  It made Hayner’s grandparents laugh, and indeed bitcoin has not come anywhere near that level. But it is worth more than 200 times what it was in 2011 when Hayner made the gift.  Investors who took a chance on the fledgling currency and stuck with it have been on a rollercoaster ride - but are optimistic that they are still onto a winner.   “I have seen these run-ups and drops in bitcoin and I did not even flinch,” said 34-year old Hayner, who started mining bitcoins in 2009 when the granddaddy of all cryptocurrencies was worth nothing. He also founded payments company Metal Pay.   “I believe in this technology. I really believe that bitcoin is the next digital gold,” he said in an interview this week.  Bitcoin on Wednesday celebrates ten years since Satoshi Nakamoto, bitcoin’s mysterious founder, released a whitepaper outlining the need for an internet currency that could be used as payment without going through a third party like a bank.  One bitcoin is now worth around $6,200. That is a steep 70 percent fall from its all-time high of near $20,000 in December last year, hurt by a more intense regulatory scrutiny around the world, as well as the rise of cryptocurrency crime including hacking, but a substantial boost for any early investors who bet on it.   “If the price goes down, I am happy because I was able to sell some,” said Israeli entrepreneur Daniel Peled, who has bought since late 2013 and believes another record peak is a few years away. “And if it goes up, I am happy too because I am still holding some.”  Peled’s optimism is partly based on his waiting for bitcoin’s next “halving,” which has constrained its supply and has caused its spike as demand increased.  Bitcoin relies on so-called “mining” computers that validate blocks of transactions by competing to solve mathematical puzzles every 10 minutes. In return, the first to solve the puzzle and clear the transaction is rewarded new bitcoins. Bitcoin technology was designed in such a way that it cut the reward for miners in half every four years, a move that was meant to keep a lid on inflation.  The next halving is scheduled in 2020 and the following year should be a good year for bitcoin, Peled said.  The same optimism has prompted London-based investor Nicholas Gregory to keep his bitcoins, which he bought heavily in early 2014.  Distrustful of exchanges, Gregory, currently chief executive of blockchain firm CommerceBlock, made his first purchase through a website that matched him to a man selling bitcoins on a memory stick in a New York cafe.      Since then, he has not sold any bitcoins, citing the potential of the digital currency to safely store value and transfer money across the internet.  Some investors, however, have become disillusioned, arguing that bitcoin has been held back and not reached its expected potential by taking off in the real world.   Vaughn Blake, a Los Angeles-based portfolio manager at private equity firm Echo Tree Capital, liquidated his cryptocurrency quantitative fund in January this year when bitcoin was at $13,000. He started investing in bitcoin in 2013 when it was around $120 but said he has been a victim of hacks and phishing attempts.  Bitcoin’s technology has also not always been an efficient means of processing payments. It can be slow, sometimes incurring higher fees than regular transactions, market participants said.  London-based entrepreneur Jez San, CEO of blockchain firm Funfair Technologies, started buying bitcoin in 2013, at around $50, but sold most of it well before the peak in December 2017. He invested in Ethereum, the second-largest cryptocurrency that runs on another public blockchain network, instead.   “We all expected people would be buying coffees with it and they would use it instead of PayPal,” said San. “Bitcoin is way too hard to use - it’s so user unfriendly that the man in the street just can’t use it.”   Reporting by Gertrude Chavez-Dreyfuss in New York and Tom Wilson in London; editing by Dan Burns, Megan Davies and Rosalba O'Brien"
